type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.011684959	126.247124229	186.0			
T	39.011690897	126.247063878	183.5			
T	39.011696203	126.247009962	181.3			
T	39.011702203	126.246948993	178.8			
T	39.011708235	126.246887698	176.8			
T	39.011714300	126.246826070	174.9			
T	39.011720397	126.246764108	173.0			
T	39.011725844	126.246708748	171.3			
T	39.011731994	126.246646152	169.5			
T	39.011738023	126.246583347	168.0			
T	39.011743898	126.246520371	166.4			
T	39.011749803	126.246457067	164.8			
T	39.011755738	126.246393435	163.2			
T	39.011761040	126.246336595	161.8			
T	39.011766883	126.246272488	160.3			
T	39.011772531	126.246208268	158.8			
T	39.011778206	126.246143733	157.3			
T	39.011783910	126.246078879	155.7			
T	39.011789642	126.246013704	153.8			
T	39.011794603	126.245955674	152.1			
T	39.011799417	126.245890980	150.2			
T	39.011804252	126.245826016	148.3			
T	39.011809107	126.245760782	146.5			
T	39.011813982	126.245695277	144.8			
T	39.011818327	126.245636822	143.2			
T	39.011823243	126.245570798	141.4			
T	39.011828177	126.245504497	139.5			
T	39.011833133	126.245437917	137.5			
T	39.011838108	126.245371057	135.5			
T	39.011843556	126.245303326	133.5			
T	39.011848123	126.245243243	131.8			
T	39.011852550	126.245176400	130.0			
T	39.011856995	126.245109308	128.2			
T	39.011602791	126.250793360	199.6			
T	39.011604166	126.250739289	198.9			
T	39.011604872	126.250690640	198.3			
T	39.011605669	126.250635872	197.7			
T	39.011606236	126.250580843	197.0			
T	39.011606502	126.250525499	196.5			
T	39.011606767	126.250470142	196.0			
T	39.011607032	126.250414771	195.6			
T	39.011607269	126.250365540	195.2			
T	39.011607534	126.250310142	194.7			
T	39.011607799	126.250254730	194.8			
T	39.011608065	126.250199305	195.7			
T	39.011608330	126.250143867	196.5			
T	39.011608566	126.250094576	197.2			
T	39.011606808	126.250037659	198.2			
T	39.011604055	126.249980149	199.2			
T	39.011601311	126.249922787	200.5			
T	39.011600367	126.249866718	201.7			
T	39.011599813	126.249810936	202.8			
T	39.011599320	126.249761376	203.9			
T	39.011598766	126.249705650	204.6			
T	39.011598212	126.249649952	204.1			
T	39.011597658	126.249594284	203.7			
T	39.011597105	126.249538644	203.3			
T	39.011596552	126.249483034	202.8			
T	39.011596061	126.249433627	202.5			
T	39.011595388	126.249378022	201.9			
T	39.011594279	126.249322284	201.4			
T	39.011593183	126.249266610	200.9			
T	39.011591976	126.249210949	200.4			
T	39.011590273	126.249161335	200.1			
T	39.011588362	126.249105616	200.7			
T	39.011586453	126.249049996	201.3			
T	39.011584548	126.248994476	201.9			
T	39.011582648	126.248939056	202.5			
T	39.011580750	126.248883735	203.1			
T	39.011579065	126.248834646	204.4			
T	39.011577175	126.248779513	205.7			
T	39.011575287	126.248724479	207.0			
T	39.011575690	126.248669725	208.3			
T	39.011577567	126.248615021	209.5			
T	39.011579241	126.248566315	210.3			
T	39.011580815	126.248511425	211.3			
T	39.011580556	126.248456499	212.3			
T	39.011580297	126.248401586	213.3			
T	39.011580037	126.248346687	214.3			
T	39.011579778	126.248291800	214.4			
T	39.011579548	126.248243023	214.1			
T	39.011579289	126.248188163	213.9			
T	39.011579030	126.248133315	213.6			
T	39.011578772	126.248078481	213.3			
T	39.011578513	126.248023661	212.6			
T	39.011581668	126.247974091	211.6			
T	39.011585903	126.247917960	210.4			
T	39.011590156	126.247861605	209.2			
T	39.011593460	126.247805341	208.1			
T	39.011596313	126.247749066	206.9			
T	39.011599172	126.247692639	205.6			
T	39.011601722	126.247642355	204.5			
T	39.011604596	126.247585641	203.2			
T	39.011607478	126.247528774	201.9			
T	39.011610368	126.247471754	200.2			
T	39.011613266	126.247414580	198.2			
T	39.011615847	126.247363629	196.4			
T	39.011620024	126.247305452	194.2			
T	39.011626062	126.247245985	192.0			
T	39.011632067	126.247186209	189.6			
T	39.011637840	126.247126275	187.0			
T	39.011643644	126.247066020	184.5			
T	39.011648829	126.247012188	182.2			
T	39.011654694	126.246951318	179.6			
T	39.011660586	126.246890119	177.4			
T	39.011666513	126.246828591	175.3			
T	39.011672471	126.246766729	173.2			
T	39.011677795	126.246711459	171.4			
T	39.011683804	126.246648966	169.6			
T	39.011689873	126.246586129	168.2			
T	39.011695693	126.246523163	166.7			
T	39.011701464	126.246459956	165.3			
T	39.011707266	126.246396421	163.7			
T	39.011712448	126.246339668	162.3			
T	39.011718312	126.246275506	160.7			
T	39.011724202	126.246211007	159.2			
T	39.011730123	126.246146170	157.6			
T	39.011736074	126.246080992	155.9			
T	39.011742057	126.246015469	154.0			
T	39.011747404	126.245956935	152.3			
T	39.011752808	126.245891484	150.4			
T	39.011757732	126.245826316	148.5			
T	39.011762676	126.245760867	146.7			
T	39.011767525	126.245695281	144.8			
T	39.011771789	126.245636824	143.2			
T	39.011776601	126.245570801	141.4			
T	39.011781438	126.245504500	139.6			
