type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.010943534	126.245285908	147.9			
T	39.010948012	126.245216088	144.9			
T	39.010952518	126.245145844	141.9			
T	39.010746832	126.250713705	235.7			
T	39.010747125	126.250660625	235.3			
T	39.010747385	126.250613422	234.9			
T	39.010747675	126.250560293	234.4			
T	39.010747968	126.250507142	233.6			
T	39.010748261	126.250453967	232.7			
T	39.010748644	126.250400902	231.7			
T	39.010749084	126.250347884	230.8			
T	39.010749475	126.250300726	230.0			
T	39.010749921	126.250247642	229.1			
T	39.010750358	126.250194522	228.3			
T	39.010750798	126.250141363	227.5			
T	39.010751239	126.250088168	226.6			
T	39.010749995	126.250038894	225.9			
T	39.010747986	126.249982869	226.0			
T	39.010745983	126.249927018	228.1			
T	39.010743985	126.249871343	230.2			
T	39.010741994	126.249815842	232.2			
T	39.010740010	126.249760513	234.3			
T	39.010738473	126.249711686	236.1			
T	39.010736954	126.249657086	238.0			
T	39.010735439	126.249602616	239.8			
T	39.010733922	126.249548273	241.6			
T	39.010732414	126.249494062	243.5			
T	39.010730910	126.249439981	245.3			
T	39.010729576	126.249392016	246.7			
T	39.010729091	126.249338846	248.2			
T	39.010728648	126.249285743	249.6			
T	39.010728205	126.249232678	251.1			
T	39.010727756	126.249179646	252.6			
T	39.010727363	126.249132541	253.2			
T	39.010726921	126.249079584	253.5			
T	39.010726453	126.249026644	253.8			
T	39.010725865	126.248973709	254.2			
T	39.010725278	126.248920823	254.5			
T	39.010724694	126.248867987	254.4			
T	39.010724173	126.248821060	253.9			
T	39.010723588	126.248768314	253.3			
T	39.010723003	126.248715617	252.6			
T	39.010723638	126.248663122	252.0			
T	39.010724658	126.248610607	251.3			
T	39.010725566	126.248563856	250.0			
T	39.010726581	126.248511177	248.7			
T	39.010727606	126.248458416	247.3			
T	39.010728632	126.248405569	245.9			
T	39.010729666	126.248352637	244.5			
T	39.010730695	126.248299617	243.4			
T	39.010731612	126.248252416	242.6			
T	39.010732644	126.248199233	241.8			
T	39.010733679	126.248145962	240.9			
T	39.010734715	126.248092601	240.0			
T	39.010735753	126.248039153	239.1			
T	39.010737236	126.247991345	238.2			
T	39.010739491	126.247937168	237.2			
T	39.010741753	126.247882798	236.2			
T	39.010744019	126.247828230	235.2			
T	39.010746297	126.247773470	234.2			
T	39.010748584	126.247718513	232.9			
T	39.010750689	126.247669469	231.9			
T	39.010753157	126.247614024	230.6			
T	39.010755634	126.247558365	229.4			
T	39.010758122	126.247502492	228.1			
T	39.010760623	126.247446400	226.0			
T	39.010762850	126.247396361	224.0			
T	39.010765365	126.247339860	221.8			
T	39.010768847	126.247282228	219.4			
T	39.010772567	126.247224077	217.0			
T	39.010776317	126.247165598	214.5			
T	39.010780081	126.247106784	212.0			
T	39.010783444	126.247054220	209.7			
T	39.010787104	126.246994897	207.2			
T	39.010790739	126.246935321	204.8			
T	39.010794395	126.246875416	202.8			
T	39.010798073	126.246815178	200.9			
T	39.010801361	126.246761351	199.2			
T	39.010805076	126.246700479	197.2			
T	39.010808873	126.246639184	195.2			
T	39.010813586	126.246576257	192.9			
T	39.010818332	126.246512884	190.6			
T	39.010823112	126.246449059	188.3			
T	39.010827381	126.246391964	186.2			
T	39.010830972	126.246329282	184.3			
T	39.010834577	126.246266267	182.4			
T	39.010838206	126.246202919	180.5			
T	39.010841860	126.246139233	178.6			
T	39.010845529	126.246075206	176.7			
T	39.010848807	126.246018002	174.9			
T	39.010852576	126.245953216	173.0			
T	39.010857539	126.245885857	170.9			
T	39.010862533	126.245818012	168.7			
T	39.010867568	126.245749678	166.2			
T	39.010871308	126.245690058	164.0			
T	39.010875488	126.245622705	161.6			
T	39.010879693	126.245554947	159.1			
T	39.010883925	126.245486784	156.6			
T	39.010888182	126.245418211	154.0			
T	39.010892460	126.245349227	151.3			
T	39.010896288	126.245287556	149.0			
T	39.010900618	126.245217776	145.9			
T	39.010904979	126.245147574	142.7			
T	39.010703888	126.250711358	237.5			
T	39.010704171	126.250658332	237.0			
T	39.010704423	126.250611178	236.6			
T	39.010704703	126.250558106	236.1			
T	39.010704986	126.250505013	235.3			
T	39.010705270	126.250451895	234.4			
T	39.010705555	126.250398753	233.5			
T	39.010705955	126.250345760	232.6			
T	39.010706332	126.250298657	231.8			
T	39.010706757	126.250245632	231.0			
T	39.010707184	126.250192570	230.1			
T	39.010707609	126.250139471	229.2			
T	39.010708035	126.250086336	228.3			
T	39.010706753	126.250037025	227.6			
T	39.010704814	126.249981071	227.8			
T	39.010702881	126.249925291	230.0			
T	39.010700953	126.249869686	232.1			
T	39.010699033	126.249814256	234.3			
T	39.010697117	126.249758997	236.5			
T	39.010695422	126.249710023	238.3			
T	39.010693826	126.249655376	240.2			
T	39.010692365	126.249600989	242.0			
T	39.010690907	126.249546730	243.9			
T	39.010689447	126.249492599	245.7			
T	39.010687996	126.249438599	247.5			
T	39.010686709	126.249390707	248.8			
T	39.010686266	126.249337633	250.3			
T	39.010685839	126.249284608	251.7			
T	39.010685412	126.249231619	253.2			
T	39.010684979	126.249178666	254.6			
T	39.010684600	126.249131630	255.1			
T	39.010684174	126.249078750	255.4			
T	39.010683758	126.249025906	255.7			
T	39.010683269	126.248973072	256.0			
T	39.010682703	126.248920258	256.3			
T	39.010682137	126.248867493	256.3			
T	39.010681634	126.248820631	255.7			
T	39.010681070	126.248767957	255.0			
T	39.010680505	126.248715332	254.4			
T	39.010681130	126.248662912	253.7			
T	39.010682111	126.248610465	253.0			
T	39.010682987	126.248563777	251.7			
T	39.010683974	126.248511173	250.2			
T	39.010684956	126.248458479	248.7			
T	39.010685946	126.248405704	247.2			
T	39.010686941	126.248352843	245.7			
T	39.010687936	126.248299897	244.6			
T	39.010688821	126.248252760	243.7			
T	39.010689817	126.248199649	242.7			
T	39.010690815	126.248146451	241.7			
T	39.010691815	126.248093166	240.7			
T	39.010692816	126.248039794	239.7			
T	39.010694234	126.247992055	238.9			
T	39.010696407	126.247937952	237.9			
T	39.010698590	126.247883658	236.8			
T	39.010700780	126.247829171	235.8			
T	39.010702974	126.247774489	234.8			
T	39.010705181	126.247719614	233.6			
T	39.010707155	126.247670671	232.5			
T	39.010709467	126.247615358	231.3			
T	39.010711857	126.247559784	230.0			
T	39.010714256	126.247503996	228.8			
T	39.010716669	126.247447995	226.8			
T	39.010718817	126.247398030	225.0			
T	39.010721243	126.247341615	222.9			
T	39.010724564	126.247284109	220.8			
T	39.010728153	126.247226057	218.5			
T	39.010731761	126.247167672	216.0			
T	39.010735404	126.247108956	213.4			
T	39.010738648	126.247056480	211.1			
T	39.010742317	126.246997122	208.5			
T	39.010745816	126.246937612	206.0			
T	39.010749343	126.246877800	203.8			
T	39.010752890	126.246817658	201.7			
T	39.010756063	126.246763916	199.8			
T	39.010759646	126.246703141	197.8			
T	39.010763268	126.246642004	195.7			
T	39.010767815	126.246579181	193.5			
T	39.010772393	126.246515916	191.2			
T	39.010777000	126.246452200	189.0			
T	39.010781126	126.246395183	187.0			
T	39.010785446	126.246331198	185.0			
T	39.010788928	126.246268243	183.0			
T	39.010792433	126.246204956	181.1			
T	39.010795961	126.246141332	179.2			
T	39.010799504	126.246077367	177.3			
T	39.010802669	126.246020220	175.6			
T	39.010806268	126.245955578	173.8			
T	39.010811060	126.245888289	171.8			
T	39.010815884	126.245820516	169.7			
T	39.010820745	126.245752254	167.2			
T	39.010824947	126.245691473	165.0			
T	39.010828988	126.245624158	162.5			
T	39.010833050	126.245556439	160.0			
T	39.010837141	126.245488314	157.5			
T	39.010841255	126.245419782	155.0			
T	39.010845389	126.245350837	152.4			
T	39.010849089	126.245289201	150.1			
T	39.010853273	126.245219464	146.9			
T	39.010857487	126.245149301	143.6			
T	39.010661035	126.250709011	239.3			
T	39.010661309	126.250656043	238.8			
T	39.010661551	126.250608938	238.3			
T	39.010661824	126.250555923	237.8			
T	39.010662096	126.250502885	236.9			
T	39.010662369	126.250449824	236.1			
T	39.010662644	126.250396737	235.3			
T	39.010662925	126.250343640	234.4			
T	39.010663289	126.250296590	233.6			
T	39.010663698	126.250243626	232.8			
T	39.010664109	126.250190625	231.9			
T	39.010664520	126.250137587	231.0			
T	39.010664930	126.250084512	230.1			
T	39.010663617	126.250035160	229.3			
T	39.010661747	126.249979277	229.6			
T	39.010659884	126.249923568	231.9			
T	39.010658026	126.249868033	234.1			
T	39.010656175	126.249812672	236.4			
T	39.010654328	126.249757483	238.6			
T	39.010652694	126.249708570	240.5			
T	39.010650859	126.249653703	242.4			
T	39.010649417	126.249599366	244.2			
T	39.010648013	126.249545190	246.1			
T	39.010646607	126.249491140	247.9			
T	39.010645209	126.249437222	249.7			
T	39.010643975	126.249389405	251.0			
T	39.010643563	126.249336420	252.4			
T	39.010643154	126.249283475	253.8			
T	39.010642743	126.249230565	255.2			
T	39.010642332	126.249177691	256.6			
T	39.010641960	126.249130721	257.1			
T	39.010641550	126.249077917	257.4			
T	39.010641148	126.249025151	257.7			
T	39.010640738	126.248972420	257.9			
T	39.010640243	126.248919696	258.2			
T	39.010639697	126.248867003	258.1			
T	39.010639211	126.248820204	257.5			
T	39.010638667	126.248767601	256.8			
T	39.010638123	126.248715048	256.1			
T	39.010638733	126.248662700	255.4			
T	39.010639681	126.248610325	254.6			
T	39.010640523	126.248563698	253.3			
T	39.010641474	126.248511164	251.7			
T	39.010642421	126.248458543	250.1			
T	39.010643375	126.248405839	248.6			
T	39.010644334	126.248353050	247.0			
T	39.010645291	126.248300173	245.7			
T	39.010646146	126.248253103	244.7			
T	39.010647106	126.248200064	243.6			
T	39.010648068	126.248146940	242.5			
T	39.010649030	126.248093727	241.4			
T	39.010649995	126.248040427	240.4			
T	39.010651348	126.247992761	239.5			
T	39.010653443	126.247938736	238.5			
T	39.010655545	126.247884516	237.5			
T	39.010657656	126.247830105	236.5			
T	39.010659772	126.247775501	235.4			
T	39.010661898	126.247720704	234.2			
T	39.010663801	126.247671831	233.2			
T	39.010665941	126.247616661	231.9			
T	39.010668210	126.247561197	230.7			
T	39.010670521	126.247505495	229.5			
T	39.010672846	126.247449581	227.7			
T	39.010674916	126.247399694	226.0			
T	39.010677253	126.247343368	224.1			
T	39.010680420	126.247285986	222.1			
T	39.010683877	126.247228030	220.0			
T	39.010687354	126.247169741	217.5			
T	39.010690860	126.247111121	214.8			
T	39.010693985	126.247058724	212.4			
T	39.010697520	126.246999456	209.8			
T	39.010701024	126.246939891	207.2			
T	39.010704422	126.246880174	204.9			
T	39.010707839	126.246820126	202.6			
T	39.010710898	126.246766475	200.5			
T	39.010714351	126.246705797	198.3			
T	39.010717823	126.246644781	196.1			
T	39.010722181	126.246582104	194.0			
T	39.010726592	126.246518941	191.9			
T	39.010731028	126.246455331	189.7			
T	39.010735002	126.246398411	187.7			
T	39.010739504	126.246333946	185.6			
T	39.010743359	126.246270216	183.6			
T	39.010746740	126.246206989	181.6			
T	39.010750139	126.246143426	179.6			
T	39.010753560	126.246079525	177.7			
T	39.010756613	126.246022435	176.1			
T	39.010760065	126.245957883	174.3			
T	39.010764669	126.245890717	172.3			
T	39.010769324	126.245823017	170.3			
T	39.010774010	126.245754828	167.9			
T	39.010778206	126.245693802	165.7			
T	39.010782534	126.245625610	163.2			
T	39.010786454	126.245557929	160.8			
T	39.010790401	126.245489843	158.2			
T	39.010794376	126.245421350	155.6			
T	39.010798367	126.245352445	153.0			
T	39.010801938	126.245290846	150.7			
T	39.010805976	126.245221148	147.6			
T	39.010810042	126.245151027	144.3			
T	39.010618274	126.250706671	241.0			
T	39.010618536	126.250653757	240.5			
T	39.010618770	126.250606703	240.0			
T	39.010619033	126.250553743	239.5			
T	39.010619297	126.250500762	238.6			
T	39.010619560	126.250447756	237.8			
T	39.010619825	126.250394726	237.0			
T	39.010620088	126.250341672	236.2			
T	39.010620345	126.250294529	235.5			
T	39.010620739	126.250241624	234.6			
T	39.010621134	126.250188684	233.6			
T	39.010621529	126.250135706	232.7			
T	39.010621924	126.250082691	231.8			
T	39.010620586	126.250033300	231.0			
T	39.010618787	126.249977488	231.4			
T	39.010616991	126.249921848	233.8			
T	39.010615202	126.249866383	236.1			
T	39.010613420	126.249811092	238.4			
T	39.010611643	126.249755972	240.8			
T	39.010610069	126.249707120	242.7			
T	39.010608302	126.249652321	244.6			
T	39.010606597	126.249597748	246.5			
T	39.010605246	126.249543654	248.3			
T	39.010603893	126.249489686	250.1			
T	39.010602548	126.249435849	251.9			
T	39.010601383	126.249388122	253.1			
T	39.010600987	126.249335214	254.5			
T	39.010600591	126.249282343	255.9			
T	39.010600198	126.249229513	257.3			
T	39.010599802	126.249176716	258.7			
T	39.010599445	126.249129814	259.1			
T	39.010599050	126.249077088	259.3			
T	39.010598662	126.249024398	259.6			
T	39.010598267	126.248971743	259.8			
T	39.010597873	126.248919125	260.0			
T	39.010597372	126.248866513	259.9			
T	39.010596906	126.248819779	259.3			
T	39.010596378	126.248767246	258.5			
T	39.010595855	126.248714764	257.8			
T	39.010596449	126.248662488	257.1			
T	39.010597362	126.248610184	256.3			
T	39.010598174	126.248563619	254.9			
T	39.010599089	126.248511156	253.2			
T	39.010600001	126.248458606	251.6			
T	39.010600919	126.248405973	249.9			
T	39.010601842	126.248353256	248.3			
T	39.010602763	126.248300451	246.9			
T	39.010603584	126.248253442	245.8			
T	39.010604510	126.248200478	244.6			
T	39.010605436	126.248147426	243.4			
T	39.010606362	126.248094286	242.1			
T	39.010607291	126.248041060	241.0			
T	39.010608579	126.247993465	240.1			
T	39.010610597	126.247939515	239.1			
T	39.010612619	126.247885371	238.1			
T	39.010614651	126.247831037	237.1			
T	39.010616690	126.247776510	236.1			
T	39.010618736	126.247721791	234.9			
T	39.010620566	126.247672988	233.8			
T	39.010622626	126.247617897	232.6			
T	39.010624693	126.247562606	231.4			
T	39.010626918	126.247506990	230.1			
T	39.010629150	126.247451159	228.5			
T	39.010631146	126.247401353	226.9			
T	39.010633395	126.247345114	225.2			
T	39.010636410	126.247287859	223.4			
T	39.010639738	126.247229996	221.5			
T	39.010643083	126.247171803	218.9			
T	39.010646454	126.247113280	216.2			
T	39.010649461	126.247060970	213.8			
T	39.010652862	126.247001801	211.1			
T	39.010656276	126.246942294	208.4			
T	39.010659632	126.246882545	205.9			
T	39.010662920	126.246822592	203.4			
T	39.010665865	126.246769025	201.3			
T	39.010669188	126.246708443	198.8			
T	39.010672529	126.246647525	196.5			
T	39.010676683	126.246585011	194.5			
T	39.010680928	126.246521955	192.5			
T	39.010685202	126.246458454	190.4			
T	39.010689022	126.246401630	188.5			
T	39.010693353	126.246337279	186.3			
T	39.010697719	126.246272468	184.2			
T	39.010701129	126.246209018	182.1			
T	39.010704404	126.246145517	180.0			
T	39.010707698	126.246081679	178.1			
T	39.010710639	126.246024645	176.5			
T	39.010713965	126.245960157	174.7			
T	39.010718362	126.245893142	172.9			
T	39.010722847	126.245825510	170.9			
T	39.010727362	126.245757391	168.5			
T	39.010731404	126.245696434	166.4			
T	39.010735983	126.245627385	163.9			
T	39.010739904	126.245559418	161.5			
T	39.010743710	126.245491371	158.8			
T	39.010747540	126.245422919	156.2			
T	39.010751392	126.245354053	153.5			
T	39.010754836	126.245292489	151.1			
T	39.010758728	126.245222832	148.0			
T	39.010762648	126.245152751	144.8			
T	39.010575603	126.250704335	242.8			
T	39.010575856	126.250651478	242.2			
T	39.010576081	126.250604473	241.7			
T	39.010576333	126.250551569	241.1			
T	39.010576589	126.250498643	240.3			
T	39.010576842	126.250445694	239.5			
T	39.010577095	126.250392719	238.8			
T	39.010577348	126.250339720	238.0			
T	39.010577574	126.250292590	237.3			
T	39.010577879	126.250239628	236.4			
T	39.010578259	126.250186747	235.4			
T	39.010578637	126.250133830	234.5			
T	39.010579018	126.250080876	233.5			
T	39.010577660	126.250031443	232.7			
T	39.010575929	126.249975703	233.2			
T	39.010574204	126.249920136	235.7			
T	39.010572482	126.249864738	238.1			
T	39.010570769	126.249809515	240.5			
T	39.010569060	126.249754464	242.9			
T	39.010567546	126.249705673	244.9			
T	39.010565846	126.249650943	246.8			
T	39.010564153	126.249596382	248.6			
T	39.010562605	126.249542122	250.5			
T	39.010561308	126.249488237	252.3			
T	39.010560012	126.249434480	254.0			
T	39.010558915	126.249386842	255.3			
T	39.010558534	126.249334011	256.6			
T	39.010558153	126.249281217	258.0			
T	39.010557773	126.249228461	259.3			
T	39.010557395	126.249175744	260.7			
T	39.010557052	126.249128911	261.1			
T	39.010556672	126.249076261	261.3			
T	39.010556299	126.249023647	261.5			
T	39.010555919	126.248971069	261.7			
T	39.010555540	126.248918527	261.9			
T	39.010555162	126.248866024	261.7			
T	39.010554714	126.248819354	261.0			
T	39.010554205	126.248766893	260.3			
T	39.010553701	126.248714481	259.5			
T	39.010554280	126.248662277	258.7			
T	39.010555158	126.248610043	258.0			
T	39.010555938	126.248563542	256.4			
T	39.010556818	126.248511149	254.7			
T	39.010557700	126.248458671	253.0			
T	39.010558579	126.248406107	251.3			
T	39.010559464	126.248353461	249.5			
T	39.010560350	126.248300728	248.0			
T	39.010561139	126.248253783	246.9			
T	39.010562027	126.248200889	245.5			
T	39.010562920	126.248147911	244.2			
T	39.010563809	126.248094843	242.9			
T	39.010564703	126.248041690	241.6			
T	39.010565928	126.247994166	240.7			
T	39.010567867	126.247940292	239.7			
T	39.010569814	126.247886226	238.7			
T	39.010571764	126.247831966	237.7			
T	39.010573724	126.247777516	236.7			
T	39.010575693	126.247722875	235.5			
T	39.010577447	126.247674141	234.4			
T	39.010579431	126.247619128	233.2			
T	39.010581418	126.247563919	232.0			
T	39.010583444	126.247508480	230.8			
T	39.010585590	126.247452736	229.3			
T	39.010587508	126.247403007	227.9			
T	39.010589669	126.247346856	226.3			
T	39.010592536	126.247289726	224.7			
T	39.010595732	126.247231956	223.0			
T	39.010598949	126.247173859	220.4			
T	39.010602183	126.247115429	217.6			
T	39.010605075	126.247063209	215.2			
T	39.010608343	126.247004139	212.4			
T	39.010611627	126.246944732	209.6			
T	39.010614933	126.246884982	206.9			
T	39.010618133	126.246825050	204.3			
T	39.010620957	126.246771564	202.0			
T	39.010624158	126.246711082	199.4			
T	39.010627369	126.246650261	197.0			
T	39.010631318	126.246587903	195.0			
T	39.010635402	126.246524959	193.1			
T	39.010639510	126.246461566	191.0			
T	39.010643181	126.246404838	189.2			
T	39.010647344	126.246340596	187.1			
T	39.010651539	126.246275897	184.8			
T	39.010655598	126.246211044	182.6			
T	39.010658750	126.246147606	180.5			
T	39.010661917	126.246083829	178.5			
T	39.010664747	126.246026851	177.0			
T	39.010667947	126.245962426	175.2			
T	39.010672135	126.245895559	173.4			
T	39.010676454	126.245828001	171.5			
T	39.010680800	126.245759953	169.2			
T	39.010684692	126.245699061	167.0			
T	39.010689097	126.245630088	164.6			
T	39.010693405	126.245560900	162.2			
T	39.010697070	126.245492897	159.5			
T	39.010700756	126.245424486	156.7			
T	39.010704465	126.245355659	154.0			
T	39.010707781	126.245294130	151.5			
T	39.010711529	126.245224510	148.5			
T	39.010715304	126.245154474	145.3			
T	39.010533023	126.250702005	243.5			
T	39.010533266	126.250649203	242.9			
T	39.010533482	126.250602247	242.4			
T	39.010533724	126.250549399	241.8			
T	39.010533967	126.250496527	241.1			
T	39.010534215	126.250443635	240.3			
T	39.010534457	126.250390716	239.6			
T	39.010534701	126.250337773	238.8			
T	39.010534917	126.250290692	238.2			
T	39.010535160	126.250237704	237.4			
T	39.010535482	126.250184815	236.5			
T	39.010535845	126.250131958	235.6			
T	39.010536210	126.250079064	234.8			
T	39.010534837	126.250029592	234.0			
T	39.010533175	126.249973922	234.7			
T	39.010531519	126.249918424	237.0			
T	39.010529864	126.249863096	239.4			
T	39.010528217	126.249807941	241.7			
T	39.010526579	126.249752961	244.0			
T	39.010525125	126.249704230	245.9			
T	39.010523494	126.249649568	247.7			
T	39.010521867	126.249595074	249.5			
T	39.010520245	126.249540749	251.3			
T	39.010518846	126.249486792	253.1			
T	39.010517602	126.249433114	254.8			
T	39.010516570	126.249385565	255.9			
T	39.010516204	126.249332812	257.1			
T	39.010515839	126.249280095	258.3			
T	39.010515473	126.249227415	259.5			
T	39.010515108	126.249174772	260.7			
T	39.010514787	126.249128012	261.0			
T	39.010514418	126.249075436	261.3			
T	39.010514058	126.249022898	261.5			
T	39.010513694	126.248970396	261.8			
T	39.010513330	126.248917931	262.0			
T	39.010512966	126.248865502	261.8			
T	39.010512636	126.248818931	261.2			
T	39.010512152	126.248766544	260.5			
T	39.010511661	126.248714199	259.8			
T	39.010512223	126.248662066	259.1			
T	39.010513066	126.248609902	258.4			
T	39.010513816	126.248563464	257.0			
T	39.010514661	126.248511141	255.4			
T	39.010515508	126.248458734	253.7			
T	39.010516351	126.248406242	252.1			
T	39.010517202	126.248353666	250.5			
T	39.010518052	126.248301005	249.0			
T	39.010518809	126.248254123	247.7			
T	39.010519662	126.248201300	246.3			
T	39.010520516	126.248148392	244.9			
T	39.010521375	126.248095401	243.5			
T	39.010522230	126.248042318	242.3			
T	39.010523394	126.247994867	241.4			
T	39.010525255	126.247941067	240.5			
T	39.010527124	126.247887077	239.5			
T	39.010528999	126.247832897	238.5			
T	39.010530877	126.247778520	237.5			
T	39.010532768	126.247723955	236.3			
T	39.010534453	126.247675291	235.2			
T	39.010536355	126.247620357	234.0			
T	39.010538263	126.247565226	232.8			
T	39.010540177	126.247509898	231.5			
T	39.010542159	126.247454308	230.1			
T	39.010544000	126.247404656	228.8			
T	39.010546074	126.247348592	227.3			
T	39.010548796	126.247291587	225.8			
T	39.010551863	126.247233910	224.3			
T	39.010554948	126.247175906	221.8			
T	39.010558054	126.247117575	219.0			
T	39.010560826	126.247065440	216.5			
T	39.010563962	126.247006469	213.7			
T	39.010567117	126.246947161	210.8			
T	39.010570289	126.246887512	208.0			
T	39.010573479	126.246827517	205.2			
T	39.010576187	126.246774099	202.7			
T	39.010579260	126.246713713	200.0			
T	39.010582342	126.246652988	197.4			
T	39.010586096	126.246590793	195.5			
T	39.010590010	126.246527949	193.6			
T	39.010593955	126.246464666	191.7			
T	39.010597483	126.246408037	190.0			
T	39.010601474	126.246343903	187.8			
T	39.010605500	126.246279315	185.5			
T	39.010609551	126.246214267	183.2			
T	39.010613176	126.246149690	180.9			
T	39.010616221	126.246085976	178.9			
T	39.010618937	126.246029053	177.4			
T	39.010622011	126.245964691	175.7			
T	39.010625999	126.245897973	173.9			
T	39.010630147	126.245830487	172.1			
T	39.010634322	126.245762511	169.8			
T	39.010638066	126.245701684	167.7			
T	39.010642299	126.245632785	165.3			
T	39.010646562	126.245563383	163.0			
T	39.010650478	126.245494422	160.1			
T	39.010654023	126.245426050	157.3			
T	39.010657586	126.245357261	154.5			
T	39.010660775	126.245295770	152.0			
T	39.010664385	126.245226194	148.9			
T	39.010668010	126.245156195	145.8			
T	39.010490533	126.250699679	243.2			
T	39.010490766	126.250646933	242.7			
T	39.010490973	126.250600027	242.2			
T	39.010491206	126.250547234	241.7			
T	39.010491438	126.250494418	240.9			
T	39.010491677	126.250441581	240.2			
T	39.010491909	126.250388718	239.5			
T	39.010492142	126.250335830	238.8			
T	39.010492350	126.250288799	238.2			
T	39.010492583	126.250235866	237.5			
T	39.010492817	126.250182909	236.8			
T	39.010493153	126.250130091	236.2			
T	39.010493499	126.250077257	235.5			
T	39.010492118	126.250027745	234.9			
T	39.010490525	126.249972145	235.7			
T	39.010488937	126.249916717	238.0			
T	39.010487354	126.249861462	240.2			
T	39.010485771	126.249806373	242.4			
T	39.010484200	126.249751460	244.6			
T	39.010482807	126.249702790	246.4			
T	39.010481243	126.249648196	248.3			
T	39.010479683	126.249593770	250.1			
T	39.010478128	126.249539511	251.9			
T	39.010476578	126.249485418	253.8			
T	39.010475317	126.249431754	255.4			
T	39.010474347	126.249384293	256.4			
T	39.010473996	126.249331616	257.4			
T	39.010473646	126.249278976	258.5			
T	39.010473296	126.249226373	259.5			
T	39.010472946	126.249173805	260.6			
T	39.010472639	126.249127113	260.9			
T	39.010472285	126.249074613	261.2			
T	39.010471939	126.249022152	261.5			
T	39.010471590	126.248969726	261.8			
T	39.010471241	126.248917336	262.1			
T	39.010470892	126.248864983	262.0			
T	39.010470583	126.248818478	261.4			
T	39.010470207	126.248766192	260.8			
T	39.010469735	126.248713918	260.2			
T	39.010470279	126.248661855	259.5			
T	39.010471087	126.248609762	258.9			
T	39.010471806	126.248563386	257.5			
T	39.010472616	126.248511133	256.0			
T	39.010473428	126.248458797	254.4			
T	39.010474242	126.248406377	252.9			
T	39.010475053	126.248353870	251.3			
T	39.010475868	126.248301280	249.8			
T	39.010476593	126.248254462	248.6			
T	39.010477411	126.248201711	247.1			
T	39.010478230	126.248148874	245.7			
T	39.010479054	126.248095956	244.2			
T	39.010479872	126.248042945	242.9			
T	39.010480975	126.247995565	242.1			
T	39.010482760	126.247941840	241.2			
T	39.010484551	126.247887925	240.3			
T	39.010486348	126.247833821	239.4			
T	39.010488151	126.247779524	238.5			
T	39.010489957	126.247725031	237.3			
T	39.010491577	126.247676438	236.2			
T	39.010493399	126.247621582	235.0			
T	39.010495227	126.247566530	233.7			
T	39.010497062	126.247511281	232.5			
T	39.010498904	126.247455835	231.0			
T	39.010500618	126.247406298	229.6			
T	39.010502610	126.247350323	228.0			
T	39.010505189	126.247293442	226.3			
T	39.010508128	126.247235859	224.7			
T	39.010511084	126.247177950	222.3			
T	39.010514056	126.247119710	219.7			
T	39.010516717	126.247067666	217.3			
T	39.010519718	126.247008792	214.6			
T	39.010522745	126.246949582	211.8			
T	39.010525785	126.246890033	209.0			
T	39.010528842	126.246830140	206.1			
T	39.010531548	126.246776627	203.6			
T	39.010534485	126.246716332	200.7			
T	39.010537447	126.246655708	198.0			
T	39.010541009	126.246593674	196.1			
T	39.010544760	126.246530935	194.2			
T	39.010548536	126.246467756	192.3			
T	39.010551919	126.246411225	190.7			
T	39.010555745	126.246347201	188.5			
T	39.010559602	126.246282723	186.1			
T	39.010563484	126.246217787	183.8			
T	39.010567394	126.246152386	181.4			
T	39.010570604	126.246088118	179.3			
T	39.010573207	126.246031251	177.8			
T	39.010576157	126.245966953	176.2			
T	39.010579949	126.245900383	174.4			
T	39.010583926	126.245832967	172.7			
T	39.010587932	126.245765064	170.4			
T	39.010591528	126.245704302	168.4			
T	39.010595588	126.245635477	166.1			
T	39.010599675	126.245566150	163.7			
T	39.010603795	126.245496317	160.8			
T	39.010607336	126.245427612	157.9			
T	39.010610754	126.245358864	155.0			
T	39.010613816	126.245297407	152.4			
T	39.010617282	126.245227872	149.4			
T	39.010620767	126.245157915	146.3			
T	39.010448133	126.250697359	242.9			
T	39.010448356	126.250644667	242.5			
T	39.010448554	126.250597811	242.0			
T	39.010448777	126.250545074	241.5			
T	39.010449001	126.250492313	240.8			
T	39.010449230	126.250439531	240.1			
T	39.010449451	126.250386723	239.4			
T	39.010449674	126.250333892	238.7			
T	39.010449873	126.250286910	238.1			
T	39.010450097	126.250234032	237.6			
T	39.010450320	126.250181131	237.2			
T	39.010450557	126.250128228	236.7			
T	39.010450863	126.250075408	236.3			
T	39.010449503	126.250025902	235.9			
T	39.010447978	126.249970372	236.8			
T	39.010446458	126.249915015	238.9			
T	39.010444942	126.249859828	241.0			
T	39.010443432	126.249804813	243.1			
T	39.010441923	126.249749963	245.2			
T	39.010440589	126.249701354	246.9			
T	39.010439092	126.249646827	248.8			
T	39.010437599	126.249592468	250.7			
T	39.010436111	126.249538276	252.5			
T	39.010434627	126.249484250	254.4			
T	39.010433154	126.249430396	256.0			
T	39.010432246	126.249383024	256.8			
T	39.010431911	126.249330424	257.7			
T	39.010431575	126.249277860	258.6			
T	39.010431241	126.249225333	259.5			
T	39.010430906	126.249172842	260.4			
T	39.010430609	126.249126214	260.8			
T	39.010430277	126.249073795	261.2			
